pin_number,student_name,branch,current_semester,cgpa,active_backlogs,attendance_percentage,hall_ticket_status,tuition_fee_due,scholarship_type,placed_company,placement_package_lpa,disciplinary_flag
22A91A0580,Abhishek Singhal,CSE,6,8.94,0,82.7,Issued,0,State-Minority-Grant,None,0.0,0
21A91A0581,Nandini Agarwal,CIVIL,8,7.49,2,73.8,Issued,0,State-Minority-Grant,None,0.0,0
22A91A0582,Gaurav Sharma,EEE,5,7.44,0,87.4,Issued,0,State-Minority-Grant,None,0.0,0
21A91A0583,Lavanya Verma,IT,7,7.14,2,90.0,Issued,0,Merit-Cum-Means,None,0.0,0
22A91A0584,Chirag Iyer,ECE,6,7.53,0,92.6,Hold,65000,None,None,0.0,1
24A91A0585,Aditya Reddy,AI&DS,2,7.86,0,90.2,Issued,0,Merit-Cum-Means,None,0.0,0
21A91A0586,Neha Hegde,CIVIL,8,7.61,0,82.5,Issued,0,State-Minority-Grant,Cisco,17.5,0
21A91A0587,Rohit Deshmukh,ECE,8,6.85,2,79.6,Issued,0,State-Minority-Grant,None,0.0,0
23A91A0588,Simran Kulkarni,ECE,4,8.32,0,85.6,Issued,0,Merit-Cum-Means,None,0.0,0
21A91A0589,Pawan Nair,CIVIL,8,7.56,0,92.5,Hold,65000,None,Microsoft,44.0,0
23A91A0590,Keerthi Pillai,ECE,4,7.2,1,87.2,Issued,0,None,None,0.0,0
23A91A0591,Deepak Banerjee,CIVIL,3,6.61,0,71.8,Hold,65000,None,None,0.0,0
21A91A0592,Anirudh Menon,IT,8,6.26,2,98.0,Hold,45000,None,None,0.0,0
21A91A0593,Bhavana Joshi,CSE,7,6.36,0,82.5,Issued,0,JVD-Reimbursement,None,0.0,0
24A91A0594,Vishal Nambiar,AI&DS,2,6.73,1,79.0,Hold,45000,None,None,0.0,0
22A91A0595,Akash Bhatia,IT,5,9.9,0,63.3,Hold,0,None,None,0.0,0
24A91A0596,Kunal Mukherjee,CIVIL,2,8.51,0,80.2,Issued,0,None,None,0.0,0
24A91A0597,Deepika Vardhan,AI&DS,2,8.42,0,88.8,Issued,0,State-Minority-Grant,None,0.0,0
22A91A0598,Sameer Dasgupta,AI&DS,5,7.34,3,70.0,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A0599,Swati Mishra,EEE,4,6.57,1,86.5,Hold,25000,None,None,0.0,0
22A91A05100,Mihir Sen,AI&DS,5,6.1,2,73.6,Issued,0,State-Minority-Grant,None,0.0,0
21A91A05101,Aarav Kapoor,CIVIL,7,9.01,0,78.7,Issued,0,None,Infosys SP,9.5,0
22A91A05102,Aditi Chawla,MECH,5,8.58,0,82.9,Issued,0,None,None,0.0,0
22A91A05103,Rohan Tripathi,CIVIL,5,6.14,1,75.7,Issued,0,State-Minority-Grant,None,0.0,0
21A91A05104,Ananya Roy,AI&DS,7,6.95,0,75.0,Issued,0,State-Minority-Grant,Microsoft,44.0,0
21A91A05105,Karthik Saxena,ECE,7,7.49,3,75.8,Hold,65000,None,None,0.0,1
22A91A05106,Pooja Chatterjee,CSE,6,7.79,0,86.0,Hold,65000,None,None,0.0,0
21A91A05107,Vikram Pandey,CSE,8,7.19,2,84.7,Issued,0,State-Minority-Grant,None,0.0,0
24A91A05108,Sneha Soni,EEE,1,8.2,0,91.7,Hold,45000,None,None,0.0,0
24A91A05109,Rahul Bhat,IT,2,9.33,0,84.0,Hold,65000,None,None,0.0,0
24A91A05110,Divya Rao,MECH,1,7.34,0,80.9,Issued,0,None,None,0.0,0
21A91A05111,Arjun Mehta,AI&DS,8,8.63,0,79.3,Hold,45000,None,None,0.0,0
21A91A05112,Kavya Chauhan,AI&DS,8,6.77,1,79.5,Hold,45000,None,None,0.0,0
21A91A05113,Siddharth Patil,EEE,7,6.76,2,93.9,Hold,45000,None,None,0.0,0
21A91A05114,Priyanka Shukla,EEE,8,8.59,0,75.5,Issued,0,JVD-Reimbursement,Infosys SP,9.5,0
23A91A05115,Pranav Kaur,ECE,4,8.61,0,81.3,Issued,0,State-Minority-Grant,None,0.0,1
21A91A05116,Tanvi Kalyan,CIVIL,8,7.24,3,68.0,Hold,65000,None,None,0.0,0
24A91A05117,Harsh Suresh,IT,1,9.8,0,96.8,Issued,0,None,None,0.0,0
24A91A05118,Meera Nayak,IT,2,6.6,1,80.6,Issued,0,Merit-Cum-Means,None,0.0,0
22A91A05119,Ayush Dixit,EEE,5,6.91,0,92.4,Hold,65000,None,None,0.0,0
22A91A05120,Riya Singhal,IT,6,6.19,3,70.0,Hold,25000,None,None,0.0,0
22A91A05121,Nikhil Agarwal,AI&DS,5,9.62,0,81.8,Issued,0,None,None,0.0,0
24A91A05122,Anushka Sharma,CIVIL,2,6.21,0,86.3,Issued,0,None,None,0.0,0
21A91A05123,Varun Verma,ECE,7,8.63,0,89.8,Issued,0,Merit-Cum-Means,Microsoft,44.0,0
23A91A05124,Sanjana Iyer,IT,4,6.34,1,82.2,Issued,0,JVD-Reimbursement,None,0.0,0
24A91A05125,Devansh Reddy,CIVIL,1,8.79,0,76.7,Issued,0,Merit-Cum-Means,None,0.0,0
22A91A05126,Ishita Hegde,ECE,5,7.06,2,75.6,Issued,0,JVD-Reimbursement,None,0.0,0
21A91A05127,Manish Deshmukh,IT,8,8.64,0,86.9,Issued,0,JVD-Reimbursement,None,0.0,0
21A91A05128,Tejas Kulkarni,EEE,7,7.58,0,92.2,Issued,0,None,None,0.0,0
22A91A05129,Shreya Nair,EEE,5,7.93,0,76.3,Hold,25000,None,None,0.0,0
22A91A05130,Abhishek Pillai,MECH,5,7.03,1,70.5,Issued,0,None,None,0.0,0
24A91A05131,Nandini Banerjee,IT,1,6.23,0,75.8,Hold,45000,None,None,0.0,0
23A91A05132,Gaurav Menon,AI&DS,4,8.72,0,89.4,Hold,65000,None,None,0.0,0
23A91A05133,Lavanya Joshi,ECE,3,7.71,0,96.9,Issued,0,JVD-Reimbursement,None,0.0,0
24A91A05134,Chirag Nambiar,ECE,2,7.37,1,82.6,Hold,65000,None,None,0.0,0
22A91A05135,Aditya Bhatia,IT,6,8.73,0,86.3,Issued,0,None,None,0.0,0
22A91A05136,Neha Mukherjee,CIVIL,5,6.04,2,74.5,Issued,0,Merit-Cum-Means,None,0.0,0
22A91A05137,Rohit Vardhan,MECH,6,8.47,0,79.1,Issued,0,State-Minority-Grant,None,0.0,0
21A91A05138,Simran Dasgupta,ECE,7,8.05,0,83.6,Issued,0,State-Minority-Grant,Uber,42.0,0
21A91A05139,Pawan Mishra,AI&DS,7,6.23,3,85.4,Issued,0,Merit-Cum-Means,None,0.0,0
24A91A05140,Keerthi Sen,CIVIL,2,8.56,0,72.4,Hold,45000,None,None,0.0,1
23A91A05141,Deepak Kapoor,ECE,4,5.27,2,88.8,Issued,0,JVD-Reimbursement,None,0.0,0
22A91A05142,Anirudh Chawla,CIVIL,6,8.62,0,84.4,Hold,45000,None,None,0.0,0
24A91A05143,Bhavana Tripathi,AI&DS,1,8.74,0,84.3,Hold,65000,None,None,0.0,0
23A91A05144,Vishal Roy,EEE,4,6.08,1,74.4,Issued,0,Merit-Cum-Means,None,0.0,0
24A91A05145,Akash Saxena,MECH,1,7.26,1,98.0,Issued,0,Merit-Cum-Means,None,0.0,0
24A91A05146,Kunal Chatterjee,EEE,1,8.5,0,87.6,Hold,65000,None,None,0.0,0
22A91A05147,Deepika Pandey,AI&DS,5,9.51,0,86.3,Issued,0,None,None,0.0,0
22A91A05148,Sameer Soni,EEE,6,7.27,1,81.7,Hold,25000,None,None,0.0,0
22A91A05149,Swati Bhat,EEE,5,5.06,0,87.4,Hold,45000,None,None,0.0,0
21A91A05150,Mihir Rao,CSE,8,7.52,0,73.6,Hold,45000,None,Microsoft,44.0,0
22A91A05151,Aarav Mehta,MECH,6,6.71,2,89.3,Issued,0,State-Minority-Grant,None,0.0,0
24A91A05152,Aditi Chauhan,CIVIL,2,8.76,0,72.7,Hold,65000,None,None,0.0,0
21A91A05153,Rohan Patil,IT,8,8.67,0,76.7,Hold,45000,None,Microsoft,44.0,0
22A91A05154,Ananya Shukla,ECE,5,7.35,3,85.3,Issued,0,None,None,0.0,0
22A91A05155,Karthik Kaur,CSE,6,8.33,0,72.6,Issued,0,JVD-Reimbursement,None,0.0,0
22A91A05156,Pooja Kalyan,IT,6,9.64,0,68.4,Issued,0,None,None,0.0,0
22A91A05157,Vikram Suresh,MECH,5,6.94,1,90.4,Issued,0,State-Minority-Grant,None,0.0,0
22A91A05158,Sneha Nayak,CSE,6,8.39,0,75.7,Hold,65000,None,None,0.0,0
24A91A05159,Rahul Dixit,IT,1,6.55,2,74.6,Issued,0,JVD-Reimbursement,None,0.0,0
22A91A05160,Divya Singhal,ECE,6,7.39,1,86.1,Issued,0,State-Minority-Grant,None,0.0,0
24A91A05161,Arjun Agarwal,CIVIL,1,8.93,0,87.4,Issued,0,State-Minority-Grant,None,0.0,0
22A91A05162,Kavya Sharma,ECE,5,7.46,0,68.4,Hold,25000,None,None,0.0,0
24A91A05163,Siddharth Verma,MECH,1,7.4,3,76.3,Issued,0,State-Minority-Grant,None,0.0,0
24A91A05164,Priyanka Iyer,AI&DS,2,7.5,0,85.2,Issued,0,State-Minority-Grant,None,0.0,0
24A91A05165,Pranav Reddy,ECE,1,8.38,0,98.0,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A05166,Tanvi Hegde,AI&DS,3,7.88,0,75.4,Issued,0,State-Minority-Grant,None,0.0,0
23A91A05167,Harsh Deshmukh,AI&DS,3,6.55,2,90.5,Issued,0,None,None,0.0,0
24A91A05168,Meera Kulkarni,IT,2,8.73,0,74.0,Issued,0,State-Minority-Grant,None,0.0,0
24A91A05169,Ayush Nair,IT,1,8.46,0,81.0,Hold,45000,None,None,0.0,0
24A91A05170,Riya Pillai,ECE,2,7.32,3,83.5,Issued,0,None,None,0.0,0
22A91A05171,Nikhil Banerjee,ECE,6,8.14,0,95.7,Issued,0,None,None,0.0,0
22A91A05172,Anushka Menon,AI&DS,6,6.16,1,98.0,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A05173,Varun Joshi,AI&DS,3,7.9,0,70.3,Issued,0,State-Minority-Grant,None,0.0,0
21A91A05174,Sanjana Nambiar,MECH,8,6.85,2,67.0,Hold,65000,None,None,0.0,0
24A91A05175,Devansh Bhatia,IT,2,6.28,2,84.2,Issued,0,JVD-Reimbursement,None,0.0,0
21A91A05176,Ishita Mukherjee,ECE,8,7.44,2,82.8,Issued,0,None,None,0.0,0
21A91A05177,Manish Vardhan,MECH,7,6.44,0,84.4,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A05178,Tejas Dasgupta,IT,3,8.96,0,79.7,Hold,45000,None,None,0.0,0
23A91A05179,Shreya Mishra,CSE,3,9.47,0,85.1,Hold,65000,None,None,0.0,0
22A91A05180,Abhishek Sen,AI&DS,6,7.17,3,86.7,Hold,65000,None,None,0.0,0
22A91A05181,Nandini Kapoor,EEE,6,8.25,0,83.4,Issued,0,JVD-Reimbursement,None,0.0,0
23A91A05182,Gaurav Chawla,EEE,3,7.07,1,91.2,Hold,45000,None,None,0.0,0
21A91A05183,Lavanya Tripathi,CIVIL,7,8.99,0,91.1,Issued,0,State-Minority-Grant,TCS Digital,7.5,0
24A91A05184,Chirag Roy,CIVIL,2,7.1,2,75.3,Issued,0,JVD-Reimbursement,None,0.0,0
22A91A05185,Aditya Saxena,AI&DS,6,9.0,0,79.0,Issued,0,Merit-Cum-Means,None,0.0,0
24A91A05186,Neha Chatterjee,ECE,2,6.43,0,81.5,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A05187,Rohit Pandey,AI&DS,3,8.51,0,93.1,Issued,0,Merit-Cum-Means,None,0.0,0
21A91A05188,Simran Soni,CSE,7,6.65,3,91.6,Issued,0,State-Minority-Grant,None,0.0,0
22A91A05189,Pawan Bhat,AI&DS,5,9.68,0,79.0,Hold,25000,None,None,0.0,0
21A91A05190,Keerthi Rao,MECH,8,6.93,3,83.6,Issued,0,State-Minority-Grant,None,0.0,0
23A91A05191,Deepak Mehta,EEE,4,7.99,0,77.9,Issued,0,State-Minority-Grant,None,0.0,0
24A91A05192,Anirudh Chauhan,MECH,2,7.48,0,72.6,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A05193,Bhavana Patil,MECH,3,8.04,0,78.9,Hold,45000,None,None,0.0,0
21A91A05194,Vishal Shukla,CSE,7,9.03,0,85.1,Issued,0,None,Google,38.5,0
22A91A05195,Akash Kaur,CSE,6,7.95,0,77.8,Issued,0,State-Minority-Grant,None,0.0,0
21A91A05196,Kunal Kalyan,AI&DS,8,7.69,0,82.3,Issued,0,JVD-Reimbursement,Amazon,32.0,0
21A91A05197,Deepika Suresh,CIVIL,7,8.49,0,86.2,Issued,0,None,Accenture,8.0,0
21A91A05198,Sameer Nayak,EEE,8,7.64,0,81.2,Issued,0,Merit-Cum-Means,Cisco,17.5,0
22A91A05199,Swati Dixit,MECH,6,7.87,0,90.3,Issued,0,None,None,0.0,0
24A91A05200,Mihir Singhal,ECE,2,9.12,0,79.1,Hold,65000,None,None,0.0,0
